DATE,COUNTY,TEST_POS,TEST_NEG,DEATHS_TOT
4/4/20,Shelby,689,3176,8
4/4/20,Smith,3,117,0
4/4/20,Stewart,1,54,0
4/4/20,Sullivan,18,196,1
4/4/20,Sumner,301,1064,10
4/4/20,Tipton,31,238,0
4/4/20,Trousdale,7,37,1
4/4/20,Unicoi,1,30,0
4/4/20,Union,1,32,0
4/4/20,Van Buren,0,22,0
4/4/20,Warren,1,119,0
4/4/20,Washington,22,304,0
4/4/20,Wayne,2,37,0
4/4/20,Weakley,1,77,0
4/4/20,White,2,104,0
4/4/20,Williamson,239,1698,2
4/4/20,Wilson,82,884,0
4/5/20,Anderson,10,217,0
4/5/20,Bedford,8,141,0
4/5/20,Benton,4,52,0
4/5/20,Bledsoe,3,23,0
4/5/20,Blount,36,282,1
4/5/20,Bradley,21,208,0
4/5/20,Campbell,5,84,0
4/5/20,Cannon,6,70,0
4/5/20,Carroll,7,120,0
4/5/20,Carter,3,78,0
4/5/20,Cheatham,13,260,0
4/5/20,Chester,6,66,0
4/5/20,Claiborne,2,55,0
4/5/20,Clay,1,54,0
4/5/20,Cocke,1,67,0
4/5/20,Coffee,5,203,0
4/5/20,Crockett,0,36,0
4/5/20,Cumberland,26,424,0
4/5/20,Davidson,801,5719,6
4/5/20,Decatur,0,48,0
4/5/20,DeKalb,7,105,0
4/5/20,Dickson,23,186,0
4/5/20,Dyer,9,113,0
4/5/20,Fayette,20,169,0
4/5/20,Fentress,2,67,0
4/5/20,Franklin,12,115,1
4/5/20,Gibson,11,187,0
4/5/20,Giles,3,78,0
4/5/20,Grainger,3,48,0
4/5/20,Greene,17,88,1
4/5/20,Grundy,12,51,0
4/5/20,Hamblen,4,114,0
4/5/20,Hamilton,74,843,4
4/5/20,Hancock,0,12,0
4/5/20,Hardeman,6,89,0
4/5/20,Hardin,2,149,0
4/5/20,Hawkins,10,75,1
4/5/20,Haywood,3,51,0
4/5/20,Henderson,1,98,0
4/5/20,Henry,4,100,0
4/5/20,Hickman,2,81,0
4/5/20,Houston,2,82,0
4/5/20,Humphreys,3,59,0
4/5/20,Jackson,3,47,0
4/5/20,Jefferson,6,110,0
4/5/20,Johnson,2,12,0
4/5/20,Knox,115,1121,1
4/5/20,Lake,0,19,0
4/5/20,Lauderdale,2,56,0
4/5/20,Lawrence,3,155,0
4/5/20,Lewis,2,21,0
4/5/20,Lincoln,5,63,0
4/5/20,Loudon,13,148,0
4/5/20,Macon,9,165,0
4/5/20,Madison,19,271,0
4/5/20,Marion,16,67,1
4/5/20,Marshall,6,140,0
4/5/20,Maury,21,487,0
4/5/20,McMinn,3,204,0
4/5/20,McNairy,3,75,0
4/5/20,Meigs,2,50,0
4/5/20,Monroe,6,135,0
4/5/20,Montgomery,51,686,1
4/5/20,Moore,0,16,0
4/5/20,Morgan,4,44,0
4/5/20,Non-Tennessee Resident,265,7238,0
4/5/20,Obion,2,80,1
4/5/20,Overton,3,112,0
4/5/20,Pending,86,7400,0
4/5/20,Perry,3,30,0
4/5/20,Pickett,0,15,0
4/5/20,Polk,3,22,0
4/5/20,Putnam,52,407,0
4/5/20,Rhea,0,117,0
4/5/20,Roane,5,173,0
4/5/20,Robertson,59,433,0
4/5/20,Rutherford,147,1289,3
4/5/20,Scott,3,65,0
4/5/20,Sequatchie,2,33,0
4/5/20,Sevier,14,291,0
4/5/20,Shelby,736,3302,9
4/5/20,Smith,3,122,0
4/5/20,Stewart,2,61,0
4/5/20,Sullivan,21,205,1
4/5/20,Sumner,321,1154,10
4/5/20,Tipton,33,256,0
4/5/20,Trousdale,8,43,1
4/5/20,Unicoi,1,30,0
4/5/20,Union,1,33,0
4/5/20,Van Buren,0,24,0
4/5/20,Warren,1,126,0
4/5/20,Washington,23,315,0
4/5/20,Wayne,2,41,0
4/5/20,Weakley,5,90,0
4/5/20,White,2,123,0
4/5/20,Williamson,258,1817,2
4/5/20,Wilson,93,961,0
4/6/20,Anderson,10,231,0
4/6/20,Bedford,8,153,0
4/6/20,Benton,4,54,0
4/6/20,Bledsoe,3,24,0
4/6/20,Blount,38,294,2
4/6/20,Bradley,23,226,0
4/6/20,Campbell,5,88,0
4/6/20,Cannon,7,79,0
4/6/20,Carroll,8,127,0
4/6/20,Carter,3,79,0
4/6/20,Cheatham,13,282,0
4/6/20,Chester,6,72,0
4/6/20,Claiborne,2,63,0
4/6/20,Clay,1,75,0
4/6/20,Cocke,1,69,0
4/6/20,Coffee,7,210,0
4/6/20,Crockett,0,39,0
4/6/20,Cumberland,26,448,0
4/6/20,Davidson,819,5979,7
4/6/20,Decatur,0,50,0
4/6/20,DeKalb,7,107,0
4/6/20,Dickson,24,193,0
4/6/20,Dyer,9,116,0
4/6/20,Fayette,21,177,0
4/6/20,Fentress,2,73,0
4/6/20,Franklin,14,125,1
4/6/20,Gibson,12,195,0
4/6/20,Giles,3,85,0
4/6/20,Grainger,3,48,0
